Table 6.3 Top 20 4-digit occupations in terms of Employment levels in 2035,,,,
Levels (000s),"Baseline
projections
(BS)","Automation
(AS)","Technological
opportunities
(TS)","Human-centric
(HS)"
6135 Care workers and home carers,1022,1075,1131,1138
7111 Sales and retail assistants,1000,897,944,949
4159 Other administrative occupations n.e.c.,639,578,609,612
"2134 Programmers and software development
professionals",615,599,634,631
6131 Nursing auxiliaries and assistants,599,599,630,635
1131 Financial managers and directors,503,508,538,537
"4122 Book-keepers, payroll managers and
wages clerks",497,447,471,473
7219 Customer service occupations n.e.c.,460,433,456,458
9252 Warehouse operatives,444,415,436,437
"2313 Secondary education teaching
professionals",422,411,431,432
2314 Primary education teaching professionals,405,395,414,415
9263 Kitchen and catering assistants,400,373,393,394
"3556 Sales accounts and business
development managers",388,339,358,358
"2440 Business and financial project
management professionals",379,362,383,382
9131 Industrial cleaning process occupations,371,336,354,354
7112 Retail cashiers and check-out operators,352,316,333,334
"1150 Managers and directors in retail and
wholesale",343,295,312,312
2319 Teaching professionals n.e.c.,335,371,389,391
9223 Cleaners and domestics,325,303,319,320
8214 Delivery drivers and couriers,304,299,316,314
