Name,Subcategory,Category,Type,IsSoftware,Counts
.NET Assemblies,Microsoft Development Tools,Information Technology,Specialized Skill,True,1
.NET Development,Software Development,Information Technology,Specialized Skill,False,26
.NET Framework,Microsoft Development Tools,Information Technology,Specialized Skill,True,5084
.NET Framework 3,Microsoft Development Tools,Information Technology,Specialized Skill,True,3
.NET Framework 4,Microsoft Development Tools,Information Technology,Specialized Skill,True,22
.NET MAUI (Multi-Platform App UI),Microsoft Development Tools,Information Technology,Specialized Skill,True,2
10-Hour OSHA General Industry Card,,,Certification,False,6
12 Volt Electricity,Basic Electrical Systems,"Maintenance, Repair, and Facility Services",Specialized Skill,False,80
1Password,Identity and Access Management,Information Technology,Specialized Skill,True,4
2020 Design Software,Interior Design,Architecture and Construction,Specialized Skill,True,4
2D Animation,Animation and Game Design,Design,Specialized Skill,False,29
2D Computer Graphics,Digital Design,Design,Specialized Skill,False,10
2D Computer-Aided Drafting And Design,Drafting and Engineering Design,Engineering,Specialized Skill,False,245
30-Hour OSHA General Industry Card,,,Certification,False,2
360-Degree Feedback,People Management,Business,Specialized Skill,False,60
3A Pesticide Applicator License,,,Certification,False,6
3B Pesticide Applicator License,,,Certification,False,4
3CX Phone Systems,,,Specialized Skill,True,4
3D Animation,Animation and Game Design,Design,Specialized Skill,False,79
3D Art,Art and Illustration,Design,Specialized Skill,False,65
3D Computer Graphics,Digital Design,Design,Specialized Skill,True,127
3D Computer Graphics Software,Graphic and Visual Design Software,Design,Specialized Skill,False,43
3D Graphic Design,Graphic and Visual Design,Design,Specialized Skill,False,5
3D Modeling,Drafting and Engineering Design,Engineering,Specialized Skill,False,2569
3D Modeling Software,Drafting and Engineering Design,Engineering,Specialized Skill,True,108
3D Projection,,,Specialized Skill,False,1
3D Reconstruction,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,19
3D Rendering,Digital Design,Design,Specialized Skill,False,47
3D Scanning,Drafting and Engineering Design,Engineering,Specialized Skill,False,56
3GPP (Telecommunication),Wireless Technologies,Information Technology,Specialized Skill,True,80
3GPP2 (Telecommunication),Wireless Technologies,Information Technology,Specialized Skill,False,4
3M (Software),Health Information Management and Medical Records,Health Care,Specialized Skill,True,1
3d Engine,Animation and Game Design,Design,Specialized Skill,False,2
3d Secure,Financial Regulation,Finance,Specialized Skill,True,1
