,Name,Subcategory,Category,Type,IsSoftware,Counts,Green Enhanced Skills,Green Increased Demand,Green New and Emerging
0,.NET Assemblies,Microsoft Development Tools,Information Technology,Specialized Skill,True,1,0,0,1
1,.NET Development,Software Development,Information Technology,Specialized Skill,False,26,3,19,0
2,.NET Framework,Microsoft Development Tools,Information Technology,Specialized Skill,True,5084,63,4354,249
3,.NET Framework 3,Microsoft Development Tools,Information Technology,Specialized Skill,True,3,0,3,0
4,.NET Framework 4,Microsoft Development Tools,Information Technology,Specialized Skill,True,22,0,16,1
5,.NET MAUI (Multi-Platform App UI),Microsoft Development Tools,Information Technology,Specialized Skill,True,2,0,1,0
6,10-Hour OSHA General Industry Card,,,Certification,False,6,0,1,1
7,12 Volt Electricity,Basic Electrical Systems,"Maintenance, Repair, and Facility Services",Specialized Skill,False,80,28,34,13
8,1Password,Identity and Access Management,Information Technology,Specialized Skill,True,4,1,0,1
9,2020 Design Software,Interior Design,Architecture and Construction,Specialized Skill,True,4,0,2,1
10,2D Animation,Animation and Game Design,Design,Specialized Skill,False,29,4,3,0
11,2D Computer Graphics,Digital Design,Design,Specialized Skill,False,10,0,0,2
12,2D Computer-Aided Drafting And Design,Drafting and Engineering Design,Engineering,Specialized Skill,False,245,73,14,58
13,30-Hour OSHA General Industry Card,,,Certification,False,2,0,1,0
14,360-Degree Feedback,People Management,Business,Specialized Skill,False,60,13,2,12
15,3A Pesticide Applicator License,,,Certification,False,6,0,6,0
16,3B Pesticide Applicator License,,,Certification,False,4,2,2,0
17,3CX Phone Systems,,,Specialized Skill,True,4,0,0,1
18,3D Animation,Animation and Game Design,Design,Specialized Skill,False,79,4,4,11
19,3D Art,Art and Illustration,Design,Specialized Skill,False,65,3,5,2
20,3D Computer Graphics,Digital Design,Design,Specialized Skill,True,127,5,65,18
21,3D Computer Graphics Software,Graphic and Visual Design Software,Design,Specialized Skill,False,43,1,4,2
22,3D Graphic Design,Graphic and Visual Design,Design,Specialized Skill,False,5,1,0,3
23,3D Modeling,Drafting and Engineering Design,Engineering,Specialized Skill,False,2569,1039,241,542
24,3D Modeling Software,Drafting and Engineering Design,Engineering,Specialized Skill,True,108,33,13,26
25,3D Projection,,,Specialized Skill,False,1,0,0,0
26,3D Reconstruction,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,19,0,4,4
27,3D Rendering,Digital Design,Design,Specialized Skill,False,47,2,8,6
28,3D Scanning,Drafting and Engineering Design,Engineering,Specialized Skill,False,56,13,4,8
29,3GPP (Telecommunication),Wireless Technologies,Information Technology,Specialized Skill,True,80,2,30,32
30,3GPP2 (Telecommunication),Wireless Technologies,Information Technology,Specialized Skill,False,4,0,4,0
31,3M (Software),Health Information Management and Medical Records,Health Care,Specialized Skill,True,1,0,0,1
32,3d Engine,Animation and Game Design,Design,Specialized Skill,False,2,0,1,0
33,3d Secure,Financial Regulation,Finance,Specialized Skill,True,1,0,0,0
34,3rd Party Systems Integration,System Design and Implementation,Information Technology,Specialized Skill,False,10,0,8,1
35,4D Modeling (Construction),Drafting and Engineering Design,Engineering,Specialized Skill,False,13,1,0,11
36,56 Kbit/S Modems,Networking Hardware,Information Technology,Specialized Skill,False,8,2,0,2
37,5G Technology,Wireless Technologies,Information Technology,Specialized Skill,False,422,48,89,125
38,5S Methodology,Lean Manufacturing,Manufacturing and Production,Specialized Skill,False,58,19,9,8
39,64bit,Computer Hardware,Information Technology,Specialized Skill,False,18,2,8,3
40,6LoWPAN,Network Protocols,Information Technology,Specialized Skill,True,3,0,1,2
41,A/B Testing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,747,136,67,216
42,A3 Problem Solving Techniques,,,Specialized Skill,False,1,0,0,0
43,AAA Server (Authentication Authorization And Accounting),Network Security,Information Technology,Specialized Skill,False,23,0,1,16
44,AAA Video Games,Animation and Game Design,Design,Specialized Skill,True,73,2,28,4
45,ABA Intervention,Mental Health Therapies,Health Care,Specialized Skill,False,2,0,0,0
46,ABL Radiometers,,,Specialized Skill,False,1,0,1,0
47,AC Motors,Machinery,Manufacturing and Production,Specialized Skill,False,104,41,42,14
48,AC Power Plugs And Sockets,Basic Electrical Systems,"Maintenance, Repair, and Facility Services",Specialized Skill,False,1,0,1,0
49,AC/DC Converters,Electrical Power,Energy and Utilities,Specialized Skill,False,8,5,0,3
50,AC/DC Power,Electrical Power,Energy and Utilities,Specialized Skill,False,19,12,2,5
51,ADABAS,Databases,Information Technology,Specialized Skill,True,9,2,6,0
52,ADDIE Instructional Design Model,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,34,7,8,3
53,ADO.NET (Programming Language),Microsoft Development Tools,Information Technology,Specialized Skill,True,135,12,52,32
54,ADP Enterprise,Payroll,Human Resources,Specialized Skill,True,2,0,0,0
55,ADP Payroll,Payroll,Human Resources,Specialized Skill,True,29,0,0,1
56,ADP Reporting,Human Resources Software,Human Resources,Specialized Skill,False,1,0,0,0
57,ADP Vantage,Human Resources Software,Human Resources,Specialized Skill,True,2,0,0,0
58,ADP Workforce Now,Payroll,Human Resources,Specialized Skill,True,8,0,0,0
59,AERMOD,,,Specialized Skill,True,3,0,0,2
60,AFGROW,Engineering Software,Engineering,Specialized Skill,True,1,0,0,0
61,AFNetworking,Networking Software,Information Technology,Specialized Skill,True,1,0,1,0
62,AGi32,Simulation and Simulation Software,Engineering,Specialized Skill,False,2,0,0,2
63,AIOps (Artificial Intelligence For IT Operations),Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,30,2,6,11
64,AIRS Certified Diversity Recruiter (CDR),,,Certification,False,3,1,0,1
65,AKTA (Chromatography Technology),Laboratory Research,Science and Research,Specialized Skill,False,40,4,28,1
66,ALM Octane,Software Development Tools,Information Technology,Specialized Skill,True,8,0,2,1
67,AMPL,Other Programming Languages,Information Technology,Specialized Skill,False,3,0,2,0
68,AMPScript,Scripting Languages,Information Technology,Specialized Skill,True,39,7,12,13
69,AMT Asset Management Software,Accounting and Finance Software,Finance,Specialized Skill,True,6,0,0,0
70,AMX Programming,Other Programming Languages,Information Technology,Specialized Skill,False,2,1,1,0
71,ANCC Certified,,,Certification,False,28,2,2,0
72,ANSI Escape Codes (Computer Standards),,,Specialized Skill,False,2,0,1,0
73,ANSI/ANS Standards,Nuclear Energy,Energy and Utilities,Specialized Skill,False,2,0,1,0
74,ANSYS IcePak (Simulation Software),Simulation and Simulation Software,Engineering,Specialized Skill,False,3,3,0,0
75,ANSYS Meshing,Simulation and Simulation Software,Engineering,Specialized Skill,False,85,9,31,27
76,ANTLR,Natural Language Processing (NLP),Analysis,Specialized Skill,False,8,0,6,2
77,AP Stylebook,Writing and Editing,Media and Communications,Specialized Skill,False,6,4,0,1
78,APA Ethics Code,Health Care Procedure and Regulation,Health Care,Specialized Skill,False,2,0,0,0
79,API 653 Aboveground Storage Tank Inspector Certification,,,Certification,False,1,0,0,0
80,API Design,Application Programming Interface (API),Information Technology,Specialized Skill,False,344,12,213,64
81,API Gateway,Application Programming Interface (API),Information Technology,Specialized Skill,False,348,20,220,68
82,API Management,Application Programming Interface (API),Information Technology,Specialized Skill,False,255,16,127,91
83,API Testing,Software Quality Assurance,Information Technology,Specialized Skill,False,490,4,147,104
84,API Throttling,Application Programming Interface (API),Information Technology,Specialized Skill,False,16,0,8,8
85,APICS Certified Supply Chain Professional,,,Certification,False,19,2,0,12
86,ARCore,Augmented and Virtual Reality (AR/VR),Information Technology,Specialized Skill,True,6,0,6,0
87,ARINC Standards,Air Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,11,1,8,2
88,ARISg,Pharmacology and Drug Discovery,Science and Research,Specialized Skill,False,5,0,1,0
89,ARKit,Augmented and Virtual Reality (AR/VR),Information Technology,Specialized Skill,False,12,0,12,0
90,ARM Architecture,Computer Science,Information Technology,Specialized Skill,False,97,17,70,5
91,ARM Architecture Microprocessors,Computer Hardware,Information Technology,Specialized Skill,False,1,0,1,0
92,ARP4754,Air Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,15,6,5,4
93,ARP4761,Air Transportation,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,19,6,9,3
94,ARRT Cardiac Interventional Radiography (CI) Certification,,,Certification,False,9,0,0,0
95,ARRT Computed Tomography (CT) Certification,,,Certification,False,1,0,0,0
96,ARRT Radiation Therapy (T) Certification,,,Certification,False,1,0,0,0
97,ARRT Radiography (R) Certification,,,Certification,False,2,0,0,0
98,AS2,Network Security,Information Technology,Specialized Skill,False,34,0,10,9
99,ASAP Methodology,Project Management,Business,Specialized Skill,False,9,0,1,2
100,ASC 340,Financial Regulation,Finance,Specialized Skill,False,1,0,0,0
101,ASC 606 (Revenue Recognition),General Accounting,Finance,Specialized Skill,False,18,2,0,1
102,ASC 740 (Accounting For Income Taxes),Tax,Finance,Specialized Skill,False,11,0,0,0
103,ASC 842 (Lease Accounting Standard),Financial Regulation,Finance,Specialized Skill,False,9,1,0,0
104,ASC X12 Standards,Cybersecurity,Information Technology,Specialized Skill,True,54,5,13,7
105,ASE Parts Specialist,,,Certification,False,1,0,0,0
106,ASNT Non-Destructive Tester,,,Certification,False,12,1,0,6
107,ASP.NET,Microsoft Development Tools,Information Technology,Specialized Skill,True,2018,27,1389,97
108,ASP.NET Core,Microsoft Development Tools,Information Technology,Specialized Skill,False,316,2,256,14
109,ASP.NET Core MVC,Microsoft Development Tools,Information Technology,Specialized Skill,True,65,0,51,3
110,ASP.NET Extensions For AJAX,Microsoft Development Tools,Information Technology,Specialized Skill,True,7,0,7,0
111,ASP.NET MVC 5,Microsoft Development Tools,Information Technology,Specialized Skill,True,64,1,41,2
112,ASP.NET MVC Framework,Microsoft Development Tools,Information Technology,Specialized Skill,True,1375,15,1102,34
113,ASP.NET Razor,Microsoft Development Tools,Information Technology,Specialized Skill,True,7,0,6,0
114,ASP.NET Web API,Microsoft Development Tools,Information Technology,Specialized Skill,True,111,10,69,13
115,ASTM International Standards,Quality Assurance and Control,"Law, Regulation, and Compliance",Specialized Skill,False,69,21,17,20
116,ATLAS.ti (Qualitative Data Analysis Software),Data Analysis,Analysis,Specialized Skill,True,5,1,2,0
117,ATP/EMTP Software,Engineering Software,Engineering,Specialized Skill,True,1,0,1,0
118,AUTomotive Open System Architecture (AUTOSAR),Automotive Technologies,Engineering,Specialized Skill,False,66,5,44,11
119,AVIXA Certified Technology Specialist,,,Certification,False,31,9,6,7
120,AWK (Programming Language),Scripting Languages,Information Technology,Specialized Skill,True,17,1,7,5
121,AWS Amplify,Software Development Tools,Information Technology,Specialized Skill,True,15,0,9,2
122,AWS App Mesh,,,Specialized Skill,True,4,1,3,0
123,AWS AppSync,Application Programming Interface (API),Information Technology,Specialized Skill,True,2,0,2,0
124,AWS Auto Scaling,Cloud Solutions,Information Technology,Specialized Skill,True,3,0,1,0
125,AWS Backup,Backup Software,Information Technology,Specialized Skill,True,3,0,1,0
126,AWS Batch,Cloud Solutions,Information Technology,Specialized Skill,True,5,0,0,5
127,AWS CLI (Command Line Interface),Scripting,Information Technology,Specialized Skill,False,31,2,13,9
128,AWS Certified Advanced Networking Specialty,,,Certification,False,3,0,0,3
129,AWS Certified Big Data Specialty,,,Certification,False,5,0,0,5
130,AWS Certified Cloud Practitioner,,,Certification,False,44,9,10,16
131,AWS Certified DevOps Engineer,,,Certification,False,34,4,20,8
132,AWS Certified Developer,,,Certification,False,26,4,9,8
133,AWS Certified Security Specialty,,,Certification,False,19,0,0,4
134,AWS Certified Solutions Architect,,,Certification,False,61,9,13,30
135,AWS Certified Solutions Architect Associate,,,Certification,False,80,8,6,52
136,AWS Certified Solutions Architect Professional,,,Certification,False,20,2,6,12
137,AWS Certified SysOps Administrator,,,Certification,False,24,4,5,13
138,AWS Cloud Development Kit (CDK),Cloud Computing,Information Technology,Specialized Skill,True,128,11,80,20
139,AWS CloudFormation,Cloud Solutions,Information Technology,Specialized Skill,True,928,69,543,237
140,AWS CloudHSM,Cybersecurity,Information Technology,Specialized Skill,True,1,0,0,1
141,AWS CloudTrail,Cybersecurity,Information Technology,Specialized Skill,True,9,0,3,2
142,AWS CodeBuild,Cloud Solutions,Information Technology,Specialized Skill,True,60,3,45,9
143,AWS CodeCommit,Version Control,Information Technology,Specialized Skill,True,25,3,14,6
144,AWS CodeDeploy,Software Development Tools,Information Technology,Specialized Skill,True,53,4,33,9
145,AWS CodePipeline,Software Development Tools,Information Technology,Specialized Skill,True,93,3,59,23
146,AWS Cost Management,Cloud Solutions,Information Technology,Specialized Skill,False,2,0,0,1
147,AWS Elastic Beanstalk,Software Development Tools,Information Technology,Specialized Skill,True,68,2,37,16
148,AWS Elastic MapReduce (EMR),Data Science,Analysis,Specialized Skill,True,58,7,10,34
149,AWS Glue,"Extraction, Transformation, and Loading (ETL)",Information Technology,Specialized Skill,True,79,0,5,70
150,AWS Identity And Access Management (IAM),Identity and Access Management,Information Technology,Specialized Skill,True,28,2,8,9
151,AWS Internet Of Things (IoT),Internet of Things (IoT),Information Technology,Specialized Skill,True,24,3,16,3
152,AWS Key Management Service (KMS),Cybersecurity,Information Technology,Specialized Skill,True,8,2,2,0
153,AWS Kinesis,Cloud Solutions,Information Technology,Specialized Skill,True,264,16,104,123
154,AWS Lambda,Cloud Solutions,Information Technology,Specialized Skill,True,393,25,236,77
155,AWS OpsWorks,Configuration Management,Information Technology,Specialized Skill,True,9,0,2,6
156,AWS SDK,Software Development Tools,Information Technology,Specialized Skill,True,15,0,12,3
157,AWS SageMaker,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,True,98,6,16,48
158,AWS Serverless,Cloud Solutions,Information Technology,Specialized Skill,True,161,11,112,24
159,AWS User Pools,,,Specialized Skill,True,1,0,1,0
160,Ab Initio (Software),Business Intelligence Software,Analysis,Specialized Skill,True,92,5,28,32
161,Abaqus,Engineering Software,Engineering,Specialized Skill,True,61,30,7,15
162,Abc Analysis,Logistics,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,2,1,0,1
163,Abdominal Aneurysm,Cardiology,Health Care,Specialized Skill,False,1,0,0,0
164,Abdominal Surgery,Surgery,Health Care,Specialized Skill,False,12,1,1,0
165,Abdominal Ultrasonography,Medical Imaging,Health Care,Specialized Skill,False,2,0,1,0
166,Abdominoplasty,Surgery,Health Care,Specialized Skill,False,2,0,0,0
167,Ability To Distinguish Colors,Physical Abilities,Physical and Inherent Abilities,Specialized Skill,False,9,3,2,0
168,Ability To Meet Deadlines,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,13777,1902,1228,1610
169,Abiotic Stress Resistance,Biology,Science and Research,Specialized Skill,False,2,0,1,1
170,Ablation,Cardiology,Health Care,Specialized Skill,False,46,1,5,1
